Date,Test #,Sample ID,Grade Match #1,Grade Match #2,Grade Match #3,Mode,AVG,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Uut,Fl,Uup,Lv,Uus,Uuo
03/01/2023 10:43,68,,,,,Soil,,,,,,,,,,,,,,,,160,60,,,2.96,8879,,1127,31,11,300,8265,7.7,3.4,< 1,33,,,< 1,< 1,,,212,92,,94,35,7.9,,,,,< 1,< 1,,< 1,< 1,6.5,,,,410,35,54,< 1,45,,,,,,,,,,,,,,,,,,,,< 1,< 1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 14:44,69,,,,,Soil,,,,,,,,,,,,,,,,39,418,,,2.98,8879,,1127,31,9.7,334,8395,4.5,7.1,< 1,32,,,< 1,< 1,,,210,92,,81,34,4.3,,,,,< 1,< 1,,< 1,< 1,12,,,,390,26,5.7,< 1,129,,,,,,,,,,,,,,,,,,,,< 1,< 1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 14:58,70,,,,,Soil,,,,,,,,,,,,,,,,< 1,305,,,2500,>10%,,4264,133,9.7,1465,7.4,34,22,120,66,,,< 1,1.5,,,< 1,283,,< 1,< 1,19,,,,,< 1,< 1,,1.3,< 1,< 1,,,,93,13,< 1,< 1,72,,,,,,,,,,,,,,,,,,,,2,< 1,< 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 15:01,71,,,,,Mining,,,,,,,,,,,,,2.6,11.12,25.92,308,,,,2034,8.48,,4417,348,,1448,7.1,135,31,199,71,,,,,,,,317,9.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,3.7,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 15:08,72,,,,,Soil,,,,,,,,,,,,,,,,< 1,437,,,2479,>10%,,4252,131,14,1515,7.44,73,22,137,63,,,< 1,1.1,,,< 1,285,,< 1,< 1,19,,,,,< 1,2.2,,7.7,< 1,11,,,,87,< 1,28,31,124,,,,,,,,,,,,,,,,,,,,2.2,< 1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 15:24,73,,,,,Soil,,,,,,,,,,,,,,,,114,243,,,2.75,2.03,,1898,49,14,461,1.61,13,5.4,2.6,45,,,< 1,< 1,,,127,169,,97,10,5.3,,,,,< 1,< 1,,< 1,< 1,< 1,,,,508,7,83,197,< 1,,,,,,,,,,,,,,,,,,,,1.6,1.3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 15:27,74,,,,,Mining,,,,,,,,,,,,,4893,8.08,35.64,647,,,,3.03,2.42,,1701,,,562,1.93,43,,,48,,,,,,,134,178,31,129,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 15:34,75,,,,,Mining,,,,,,,,,,,,,,7.33,37.07,525,,,,3.62,1.19,,1115,,,419,1.09,,7.5,,36,,,,,,,225,99,52,109,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7.5,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 15:50,76,,,,,Soil,,,,,,,,,,,,,,,,< 1,58,,,3.12,1.46,,1543,40,13,304,1.16,12,9.9,< 1,42,,,< 1,< 1,,,159,132,,76,11,6.3,,,,,< 1,< 1,,< 1,< 1,< 1,,,,493,29,23,< 1,18,,,,,,,,,,,,,,,,,,,,< 1,< 1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 15:53,77,,,,,Mining,,,,,,,,,,,,,2745,7.8,35.48,513,,,,3.5,1.8,,1372,,,389,1.42,27,,,46,,,,,,,167,135,30,100,9.8,,,,,,,,,,,,,,,1663,,,,,,,,,,,,,,,,,30,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 16:11,78,,,,,Soil,,,,,,,,,,,,,,,,< 1,308,,,4840,9.39,,4345,118,40,1354,7.05,< 1,26,52,65,,,< 1,1.7,,,1.4,284,,< 1,1.8,19,,,,,< 1,< 1,,1.6,< 1,15,,,,144,< 1,24,228,< 1,,,,,,,,,,,,,,,,,,,,1,< 1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2023 16:14,79,,,,,Mining,,,,,,,,,,,,,2.82,9.48,27.44,562,,,,3910,7.22,,4200,279,67,1317,6.73,136,32,80,73,,,,,,,,305,16,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,11,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:02,80,,,,,Mining,,,,,,,,,,,,,8.3,6.36,20.59,5065,206,,,1.18,11.02,,1.55,351,422,1582,8.85,137,366,88,115,,,,,,,48,1468,29,301,116,5,,,,,,,,,,,,,,1274,,,,,,,,,,,,,,,,,43,39,,,,,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:05,81,,,,,Mining,,,,,,,,,,,,,3.75,8.32,25.38,1211,,,,4453,8.88,,1.6,446,280,1333,8.48,104,154,175,105,,,,,,,8.9,425,22,192,26,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,9.1,,,,,,3,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:09,82,,,,,Mining,,,,,,,,,,,,,8.54,6.52,20.68,5169,122,,,1.19,10.73,,1.61,382,418,1570,8.84,105,351,101,201,,,,,,,49,1461,30,303,118,6.3,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,39,16,,,,,,3.5,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:12,83,,,,,Mining,,,,,,,,,,,,,3.04,9.92,28.69,1368,,,,1.45,5.63,,5994,233,,1633,6.63,90,29,52,140,,,17,2.6,,,74,420,28,135,9.9,,,,,,,,,,,,,,,705,,,,,,,,,,,,,,,,,51,157,,,,,,4.4,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:15,84,,,,,Mining,,,,,,,,,,,,,5442,8.44,35.52,1497,,,,4.79,1.81,,4031,126,124,330,2.89,38,16,32,102,,,9.6,4.4,,,271,257,49,501,40,11,,,,,17,,,,,,,,,2777,,,,,,,,,,,,,,,,,58,8.5,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:19,85,,,,,Mining,,,,,,,,,,,,,1.05,8.64,30.97,1168,,,,1.56,4.43,,3051,127,43,635,3.48,49,25,64,70,,,14,,,,43,913,14,125,19,16,,,,,,,,,,,,,,1685,,,,,,,,,,,,,,,,,46,,,,,,,1.4,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:22,86,,,,,Mining,,,,,,,,,,,,,4.1,8.93,24.11,4888,,,,2.03,6.71,,1.34,254,155,1311,8.95,108,188,45,141,,,,,,,37,1199,19,310,79,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,3.3,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:25,87,,,,,Mining,,,,,,,,,,,,,5274,8.81,35.26,898,,,,6879,4.56,,4679,154,,1169,4.68,57,8.8,48,88,,,,,,,9.6,272,27,88,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6.8,,,,,,1.8,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:29,88,,,,,Mining,,,,,,,,,,,,,4.84,9.34,29.18,1577,,,,1.21,7.63,,7368,225,469,1181,6.49,91,202,62,84,,,,,,,38,499,25,151,37,9.6,,,,,,,,,,,,,,1047,,,,,,,,,,,,,,,,,48,9.5,,,,,,2.3,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:37,89,,,,,Mining,,,,,,,,,,,,,,7.67,36.24,680,,,,3.98,4169,,464,,51,460,1.76,35,20,,237,,,15,1.1,,,167,12,169,898,150,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,13,,,,,,2.3,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:44,90,,,,,Mining,,,,,,,,,,,,,4.37,11.42,25.97,273,,,,515,10.74,,5744,332,444,1355,7.82,115,211,160,68,,,,,,,,122,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,11,,,,,,4.1,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:48,91,,,,,Mining,,,,,,,,,,,,,5.42,11.72,24.3,462,220,,,2119,8.86,,2605,144,254,1141,6.91,108,318,114,62,,,,,,,,151,13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12,,,,,,2.5,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:52,92,,,,,Mining,,,,,,,,,,,,,6850,7.95,35.4,783,,,,3.48,2.17,,2290,65,47,743,1.97,,14,31,75,,,13,1.5,,,192,352,36,159,31,18,,,,,,,,,,,,,,1643,,,,,,,,,,,,,,,,,38,,,,,,,1.9,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:55,93,,,,,Mining,,,,,,,,,,,,,,7.12,40.42,191,,,,4.35,7486,,398,,,393,9675,20,13,,66,,,11,2.8,,,423,16,107,174,125,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,2.4,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 11:59,94,,,,,Mining,,,,,,,,,,,,,1.64,8.55,36.09,1624,,,,4.26,2.25,,3764,121,100,480,2.7,92,50,20,52,,,60,12,,,213,684,37,271,47,21,,,,,,,,,,,,,,2386,,,,,,,,,,,,,,,,,58,542,,,,,,8.8,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:02,95,,,,,Mining,,,,,,,,,,,,,3.84,9.92,32.45,985,,,,1.68,5.23,,3920,142,418,837,4.45,67,175,35,70,,,,,,,76,279,22,131,14,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,7.1,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:06,96,,,,,Mining,,,,,,,,,,,,,2.12,9.78,29.69,632,,,,3780,7.87,,6879,592,,1665,9.81,106,29,277,107,,,,,,,4.1,182,17,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7.2,,,,,,4.1,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:09,97,,,,,Mining,,,,,,,,,,,,,2.39,11.15,28.4,1668,,,,7136,7.98,,8493,435,67,1406,8.05,92,55,239,100,,,,,,,13,439,18,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,10,,,,,,3.3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:13,98,,,,,Mining,,,,,,,,,,,,,13.93,664,3109,100,473,,,299,27.43,,,,,67,217,7.9,14,11,39,,,8.7,,,,,135,,9.7,6.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:17,99,,,,,Mining,,,,,,,,,,,,,30.48,6684,26.14,111,,,,449,5802,,,,3196,1056,6.3,175,3332,26,50,,,8.8,,,,,2.7,,10,6.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:21,100,,,,,Mining,,,,,,,,,,,,,,6.82,39.8,126,,,,3.86,7049,,471,,,807,6195,11,7.5,,32,,,33,1.4,,,283,38,65,121,33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,7.5,,,,,,2.3,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:24,101,,,,,Mining,,,,,,,,,,,,,,6.82,40.9,102,,,,3.98,5666,,296,,,934,5531,12,8.4,,32,,,39,2.1,,,343,16,77,117,40,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,8.9,,,,,,2.1,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:29,102,,,,,Mining,,,,,,,,,,,,,,9.9,36.12,7111,,,,3,6566,,,,,323,3538,,5.7,128,244,,,40,4.3,,,4119,107,415,47,214,25,,,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,393,81,,,,,,5.7,,54,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:33,103,,,,,Mining,,,,,,,,,,,,,9.66,5.48,21.77,547,327,,,2052,11.78,,2.3,720,467,1394,12.75,129,252,168,227,,,,,,,1.9,295,15,114,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,20,,,,,,6.5,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 12:36,104,,,,,Mining,,,,,,,,,,,,,28.57,4709,21.25,163,,,,458,3336,,,,3068,1821,12.31,264,2525,30,93,,,,,,,,2.4,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 13:15,105,,,,,Mining,,,,,,,,,,,,,,6.58,37.12,252,,,,4.45,8176,,431,,82,171,1.48,19,16,,56,,,32,2.8,,,359,20,150,319,83,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,14,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 13:18,106,,,,,Mining,,,,,,,,,,,,,3.98,10.87,28.1,209,,,,2476,9.26,,1147,203,40,1438,6.43,108,154,,62,,,,,,,2.6,290,,21,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,7.5,,,,,,3.6,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2023 13:22,107,,,,,Mining,,,,,,,,,,,,,1.32,6.21,31.39,2075,,,,3.51,5.82,,578,,53,2291,4.09,47,28,,238,,,98,14,,,238,280,120,329,74,26,,,,,,,,,,,,,,991,,,,,,,,,,,,,,,,,62,13,,,,,,1.6,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
